Species\tProbability\tError\n
Halobacillus halophilus\t0.10069108308662117\t0.045296463390387814\n
Staphylococcus epidermidis\t0.04076903848429238\t0.0096463390387814\n
Chromobacterium violaceum\t0.10318269548054262\t0.03390387814\n
Pseudomonas TKP\t0.05880239155316942\t0.0045296463390387745\n
Bacillus subtilis\t0.1908578484310064\t0.0765387676\n
Pseudomonas fluorescens\t0.10663641563053275\t0.0045296463390387676\n
Micrococcus luteus	0.04523420524963677	0.006463390387814\n
Pseudoalteromonas SM9913	0.08033880363132218	0.05296463390387814\n
Enterococcus faecalis	0.07214855298991701	0.0077390387814\n
Escherichia coli	0.2014657031774047	0.100646339038795\n
